file,label,score
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002959_1.jpg,M,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002959_2.jpg,F,0.66
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002963_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002963_1.jpg,M,0.86
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002963_2.jpg,F,0.63
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002963_3.jpg,M,0.76
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002966_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002966_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1003034_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1003034_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1003034_2.jpg,M,0.81
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1003034_3.jpg,M,0.84
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100308_0.jpg,F,0.69
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100308_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1003113_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1003113_1.jpg,M,0.89
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100318_0.jpg,F,0.67
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100318_1.jpg,F,0.56
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100332_0.jpg,F,0.77
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100347_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100347_1.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100361_0.jpg,M,0.56
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100361_1.jpg,M,0.51
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100395_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100395_1.jpg,F,0.72
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100404_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100405_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100440_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100442_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100456_0.jpg,F,0.58
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100469_0.jpg,F,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100469_1.jpg,F,0.77
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100469_2.jpg,M,0.52
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100469_3.jpg,M,0.95
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100486_0.jpg,F,0.52
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100486_1.jpg,M,0.88
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100507_0.jpg,M,0.76
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100514_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100514_1.jpg,F,0.65
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100530_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100534_0.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100534_1.jpg,M,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100563_0.jpg,M,0.55
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100586_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100597_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100623_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100625_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100632_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100633_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100633_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100633_2.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100663_0.jpg,F,0.65
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100663_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100680_0.jpg,M,0.52
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100680_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1006823_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100685_0.jpg,F,0.58
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100691_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1007018_0.jpg,M,0.84
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1007028_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1007028_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1007029_0.jpg,M,0.62
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\10071_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100747_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100762_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1007950_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1007950_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1008010_0.jpg,M,0.70
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100813_0.jpg,M,0.89
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100813_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100822_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100822_1.jpg,M,0.93
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100822_2.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100828_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100835_0.jpg,F,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100840_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100840_1.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100842_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100879_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100879_1.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100895_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1009012_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1009014_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1009019_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1009019_1.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1009019_2.jpg,F,0.85
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100911_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100911_1.jpg,M,0.83
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100931_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100931_1.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100931_2.jpg,F,0.55
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100935_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100994_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101004_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101004_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101005_0.jpg,M,0.77
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1010248_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1010265_0.jpg,F,0.76
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1010265_1.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101026_0.jpg,F,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101095_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101095_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101244_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101244_1.jpg,M,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101244_2.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101252_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101252_1.jpg,M,0.91
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101254_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101256_0.jpg,F,0.72
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101268_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101268_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1012757_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101279_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101316_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101318_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101318_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101326_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101326_1.jpg,M,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1013542_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1013542_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101371_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101373_0.jpg,F,0.62
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101373_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1013753_0.jpg,M,0.93
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101391_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101412_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101440_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101449_0.jpg,F,0.95
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101452_0.jpg,F,0.95
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101453_0.jpg,M,0.85
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101453_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101465_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014672_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014691_0.jpg,M,0.67
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014691_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014691_2.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014691_3.jpg,F,0.89
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014691_4.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014691_5.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014759_0.jpg,F,0.92
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014763_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014763_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014774_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101477_0.jpg,M,0.55
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014801_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014801_1.jpg,M,0.69
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014806_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1014806_1.jpg,F,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101492_0.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101502_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101507_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101522_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101523_0.jpg,F,0.87
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101529_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101530_0.jpg,F,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101530_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101531_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101531_1.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101545_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1015474_0.jpg,F,0.86
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101550_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101550_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\10155_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\10155_1.jpg,F,0.68
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101590_0.jpg,F,0.91
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101590_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101592_0.jpg,F,0.67
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101595_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1015968_0.jpg,M,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1015999_0.jpg,F,0.90
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1015999_1.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101606_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101606_1.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1016290_0.jpg,F,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1016290_1.jpg,M,0.81
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101635_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101664_0.jpg,M,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101669_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101669_1.jpg,F,0.74
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101725_0.jpg,M,0.79
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1017442_0.jpg,M,0.55
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1017442_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1017456_0.jpg,F,0.93
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1017464_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1017465_0.jpg,F,0.87
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1017465_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101746_0.jpg,F,0.94
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101764_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101764_1.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101775_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101775_1.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101775_2.jpg,F,0.94
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101786_0.jpg,M,0.55
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101787_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101831_0.jpg,M,0.85
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101844_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101857_0.jpg,F,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018728_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018765_0.jpg,M,0.88
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018785_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018785_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018785_2.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018785_3.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101879_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018817_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018817_1.jpg,F,0.94
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018830_0.jpg,M,0.65
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018830_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018830_2.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018902_0.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101891_0.jpg,M,0.65
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018920_0.jpg,M,0.73
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018920_1.jpg,F,0.90
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018920_2.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018920_3.jpg,M,0.74
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1018920_4.jpg,M,0.93
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101902_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101902_1.jpg,F,0.68
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101912_0.jpg,F,0.66
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101921_0.jpg,F,0.83
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101921_1.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101921_2.jpg,F,0.68
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101933_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101933_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101933_2.jpg,M,0.91
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101933_3.jpg,F,0.56
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1019437_0.jpg,M,0.85
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1019437_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1019437_2.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1019437_3.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1019437_4.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\10195_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101970_0.jpg,F,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\101984_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102002_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102002_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102002_2.jpg,M,0.61
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1020055_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1020055_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102005_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102032_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102035_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102045_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102057_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102083_0.jpg,F,0.63
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1020885_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1020937_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102095_0.jpg,F,0.51
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102095_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1021004_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1021004_1.jpg,F,0.94
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102103_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102103_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102115_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102129_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102136_0.jpg,M,0.81
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102138_0.jpg,M,0.87
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102178_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102217_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102247_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102266_0.jpg,F,0.78
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102293_0.jpg,M,0.76
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102303_0.jpg,F,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1023111_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1023111_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1023114_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1023122_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102313_0.jpg,M,0.66
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102343_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102343_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1023481_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102397_0.jpg,F,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102397_1.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102411_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1024255_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102432_0.jpg,M,0.59
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102432_1.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\102456_0.jpg,F,0.83
